№,район,Име на училището,Наименование на паралелката,"свободни
места"
,,,,
1,Банкя,"78. СУ ""Христо Смирненски""","професия ""Изпълнител на термални процедури"",
специалност ""Извършване на термални процедури в
балнеологични и други възстановителни центрове""",4
2,Банкя,"ПГ по туризъм ""Алеко
Константинов"" - гр. Банкя","Професия ""Хотелиер"", специалност ""Организация на
хотелиерството"" с разширено изучаване на АЕ",2
3,Банкя,"ПГ по туризъм ""Алеко
Константинов"" - гр. Банкя","Професия ""Ресторантьор"", специалност ""Кетъринг"" с
разширено изучаване на АЕ",7
4,Банкя,"ПГ по туризъм ""Алеко
Константинов"" - гр. Банкя","Професия ""Готвач"", специалност ""Производство на
кулинарни изделия и напитки"" без интензивно и без
разширено изучаване на АЕ",7
5,Витоша,"ПГЕБ ""Проф. д-р Асен
Златаров""","Екология и опазване на околната среда АЕ - разширено
изучаване",1
6,Витоша,"ПГЕБ ""Проф. д-р Асен
Златаров""",Технология на фармацевтичните и парфюмерийно-козметични продукти АЕ - разширено изучаван,2
7,Витоша,"ПГЕБ ""Проф. д-р Асен
Златаров""",Технология на фармацевтичните и парфюмерийно-козметични продукти АЕ - разширено изучаван,7
8,Витоша,"ПГЕБ ""Проф. д-р Асен
Златаров""","Технологичен и микробиологичен контрол в химичните
производства АЕ - разширено изучаван",10
9,Връбница,"74.СУ ""Гоце Делчев""",Природни науки АЕ интензивно,1
10,Възраждане,ПГТКИ,"Конструиране, моделиране и технология на обувни изделия -дуално обучение; професионална; АЕ",9
11,Възраждане,ПГ по ПСТТ,Пътно - строителна техника - АЕ с РИЧЕ,8
12,Възраждане,ПГ по ПСТТ,"Подемно траспортна техника,монтирана на пътни
транспортни средства-РИЧЕ - ФЕ",15
13,Възраждане,ПГ по ПСТТ,Електрически превозни средства - РИЧЕ -РЕ,16
14,Възраждане,ПГ по ПСТТ,Локомотиви и вагони - РИЧЕ - АЕ,16
15,Илинден,"3. СУ ""Марин Дринов""","Профил ""Изобразително изкуство с интензивно изучаване на
руски език""",1
16,Илинден,"113 СУ ""Сава Филаретов""","професионална паралелка ""Продавач-консултант"",
английски език без интензивно изучаване",7
17,Илинден,"113 СУ ""Сава Филаретов""","професионална паралелка ""Продавач-консултант"",
английски език без интензивно изучаване",6
18,Илинден,ПГХВТ,"„Производство на захари и захарни изделия“ с разширено
изучаване на английски език",5
19,Илинден,ПГХВТ,"„Производство на месо месни продукти и риба“ - с
разширено изучаване на английски език - / ЗАЩИТЕНА
СПЕЦИАЛНОСТ /",2
20,Илинден,ПГХВТ,"„Производство и преработка на мляко и млечни продукти - /
защитена специалност / - НИНРИЧЕ “",13
21,Искър,ПГ по транспорт,Митническа и данъчна администрация - АЕ,3
22,Искър,ПГ по транспорт,Автомобилна мехатроника - АЕ,5
23,Искър,ПГ по транспорт,Автотранспортна техника - монтьор,9
24,Красна полян,"17 СУ ""Дамян Груев""","Професионална паралелка- Туристическа анимация – ФЕ
интензивно",2
25,Красна полян,"28. СУ ""Алеко
Константинов""",Физическо възпитание и спорт,3
26,Красна полян,"123 СУ""Стефан Стамболов""","Логистика на товари и услуги/ без интензивно и без
разширено изучаване на чужд език/",2
27,Красна полян,"123 СУ""Стефан Стамболов""","Логистика на товари и услуги /без интензивно и без
разширено изучаване на чужд език/",4
28,Красна полян,СГХСТ,"Производство на хляб, хлебни и сладкарски изделия -разширено изучаване на английски език",4
29,Красна полян,СГХСТ,"Декорация на сладкарски изделия с разширено изучаване на
английски език",8
30,Красна полян,СГХСТ,"Производство на сладкарски изделия/ Карвинг-декоратор - с
разширено изучаване на английски език",8
31,Красно село,"19.СУ""Елин Пелин""",Предприемачески - АЕ интензивно; Норвежки език,1
32,Красно село,"36 СУ "" Максим Горки""",Чужди езици - АЕ- разширено изучаване,1
33,Люлин,"56. СУ ""Проф. К. Иречек""","""Чужди езици - АЕ интензивно",2
34,Люлин,"56. СУ ""Проф. К. Иречек""","""Икономическо развитие - НЕ интензивно""",10
35,Люлин,"79. СУ ""Индира Ганди""","Софтуерни и хардуерни науки, чужд език - английски език,
интензивно изучаване",1
36,Люлин,"90 СУ ""генерал Хосе де Сан
Мартин""",Предприемачески - ИЕ разширено изучаване,3
37,Младост,"131.СУ""Кл.Арк.Тимирязев""","""Търговия на едро и дребно"", английски език,без интензивно
и без разширено изучаване",8
38,Младост,"144 СУ ""Народни будители""","профил Музика, АЕ - разширено изучаване",7
39,Младост,"144 СУ ""Народни будители""","професия Танцьор, сп. Български танци, АЕ - разширено
изучаване",2
40,Надежда,15 СУ АДАМ МИЦКЕВИЧ,Предприемачеси с разширено изучаване на АЕ,5
41,Надежда,15 СУ АДАМ МИЦКЕВИЧ,Предприемачеси профил без изнтензивно изучаване на АЕ,5
42,Нови Искър,"172 Обединено училище
""Христо Ботев""","""Производство на облекло от текстил"", Английски език, без
интензивно и без разширено изучаване на чужд език",4
43,Овча купел,"66. СУ""Филип Станиславов""","Профил Предприемачески, АЕ без интензивно и разширено
изучаване",5
44,Овча купел,"88. СУ ""Димитър
Попниколов"" - София град",ТУРИСТИЧЕСКА АНИМАЦИЯ - АЕ - интензивно изучаване,4
45,Овча купел,"НСУ ""София""","Профил ""Природни науки - АЕ"", разширено изучаване",1
46,Овча купел,"НСУ ""София""","Профил ""Изобразително изкуство - АЕ"", разширено
изучаване",6
47,Овча купел,ПГЕА,"Компютърни мрежи, английски език, РИЧЕ",3
48,Овча купел,ПГЕА,"Компютърна техника и технологии, английски език, РИЧЕ",1
49,Овча купел,"ПГСС ""БУЗЕМА""","професия 621010 ТЕХНИК-РАСТЕНИЕВЪД, специалност
6210103 ТРАЙНИ НАСАЖДЕНИЯ - без интензивно и без
разширено изучаване на чужд език",4
50,Овча купел,"ПГСС ""БУЗЕМА""","професия 215060 КАМЕНОДЕЛЕЦ, специалност 2150601
КАМЕНОДЕЛСТВО - без интензивно и без разширено
изучаване на чужд език",10
51,Панчарево,"192.СУ""Христо Ботев""","Туристическа анимация, АЕ,БИ,БР",4
52,Подуяне,95 СУ,Природни науки - АЕ,1
53,Подуяне,"130. СУ ""Стефан Караджа""","професионална паралелка, ""Продавач-консултант"",
Английски език без разширено и без интензивно изучаване",1
54,Сердика,"29. СУ ""Кузман Шапкарев""","""Физическо възпитание и спорт""",4
55,Сердика,"59 обединено училище
""Васил Левски""","професия ""Готвач"", Английски език - без интензивно и без
разширено изучаване",2
56,Сердика,"59 обединено училище
""Васил Левски""","професия ""Готвач"" - 8 б клас - Английски език - без
интензивно и без разширено изучаване",2
57,Сердика,"Профилирана гимназия с
интензивно изучаване на
румънски език ""Михай
Еминеску""",Чужди езици - интензивно изучаване на румънски език,7
58,Слатина,"94 СУ""Димитър
Страшимиров""","профил Предприемачески;английски език - без интензивно и
без разширено",5
59,Слатина,"94 СУ ""Димитър
Страшимиров""","професионална ""Производство на облекло от
текстил"";английски език - без интензивно и без разширено",9
60,Слатина,"ПГТ ""Макгахан""",Автотранспортна техника (дуална) - АЕ разширено,1
61,Слатина,"ПГТ ""Макгахан""",Ремонт на летателни апарати - АЕ разширено,3
62,Слатина,"ПГТ ""Макгахан""","Спедиция, транспортна и складова логистика - АЕ
разширено",1
63,Слатина,"ПГТ ""Макгахан""","Спедиция, транспортна и складова логистика (дуална) - АЕ
разширено",2
64,Средец,"12 СУ ""Цар Иван Асен II""","Чужди езици, Английски език, интензивно",1
65,Средец,"12 СУ ""Цар Иван Асен II""","Чужди езици, Немски език, интензивно",1
66,Средец,"12 СУ ""Цар Иван Асен II""","Предприемачески, Френски език, интензивно",2
